Brand,Price,Color,GPU,Processor Speed,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (cm),Ram Size,Price per Screen Size,Price per Display Height,Price per Display Width,Bluetooth,Touchscreen,WiFi,Webcam
dell,400.0,black,intel,4.2,1920.0,1080.0,windows,ssd,2000.0,205.95,14.0,5.98,28.571428571428573,0.37037037037037035,0.20833333333333334,Yes,No,Yes,Yes
dell,175.0,black,intel,2.4,1920.0,1080.0,windows,ssd,500.0,500.0,14.0,16.0,12.5,0.16203703703703703,0.09114583333333333,Yes,Yes,Yes,Yes
hp,85.0,black,intel,2.4,1366.0,768.0,chrome,emmc,16.0,205.95,11.6,4.0,7.327586206896552,0.11067708333333333,0.06222547584187409,Yes,No,Yes,Yes
dell,101.25,other,other,1.4,1366.0,768.0,windows,ssd,98.89,256.0,12.5,8.0,8.1,0.1318359375,0.07412152269399708,No,No,Yes,Yes
acer,50.0,black,other,1.6,1366.0,768.0,chrome,ssd,98.89,16.0,11.6,4.0,4.310344827586207,0.06510416666666667,0.036603221083455345,Yes,Yes,No,No
hp,39.6,black,other,1.6,779.2421706908917,447.9493186708104,chrome,ssd,16.0,16.0,11.6,4.0,3.4137931034482762,0.08840285797845203,0.05081860490800934,Yes,No,No,Yes
acer,35.0,gray,other,1.0,779.2421706908917,447.9493186708104,chrome,unknown,16.0,205.95,11.6,2.0,3.0172413793103448,0.07813383912236922,0.044915433630816334,No,No,No,No
dell,280.0,black,other,2.8,1920.0,1080.0,windows,ssd,512.0,500.0,14.0,16.0,20.0,0.25925925925925924,0.14583333333333334,No,No,Yes,No
hp,125.0,silver,intel,2.1,1920.0,1080.0,chrome,emmc,98.89,64.0,14.0,8.0,8.928571428571429,0.11574074074074074,0.06510416666666667,Yes,Yes,Yes,Yes
lenovo,138.0,black,intel,1.7,1920.0,1080.0,windows,ssd,98.89,128.0,14.0,16.0,9.857142857142858,0.12777777777777777,0.071875,No,No,No,Yes
samsung,430.5,other,other,1.1861742242409754,779.2421706908917,447.9493186708104,unknown,unknown,98.89,205.95,13.3,5.98,32.368421052631575,0.9610462212051414,0.5524598336590409,No,No,No,No
acer,70.0,silver,intel,1.1,1366.0,768.0,chrome,emmc,98.89,32.0,11.6,4.0,6.0344827586206895,0.09114583333333333,0.05124450951683748,Yes,No,No,No
dell,170.0,black,other,1.1861742242409754,1920.0,1080.0,windows,ssd,128.0,128.0,2.0,8.0,85.0,0.1574074074074074,0.08854166666666667,Yes,Yes,Yes,Yes
dell,218.0,black,intel,1.6,1920.0,1080.0,unknown,ssd,98.89,512.0,15.6,16.0,13.974358974358974,0.20185185185185187,0.11354166666666667,Yes,Yes,Yes,Yes
dell,130.0,black,intel,1.1,1366.0,768.0,windows,ssd,128.0,128.0,11.0,4.0,11.818181818181818,0.16927083333333334,0.0951683748169839,Yes,Yes,No,Yes
acer,40.0,gray,intel,1.6,1366.0,768.0,chrome,ssd,16.0,16.0,11.6,4.0,3.4482758620689657,0.052083333333333336,0.029282576866764276,Yes,No,Yes,Yes
dell,393.0,black,intel,4.2,1920.0,1080.0,windows,ssd,2000.0,205.95,14.0,5.98,28.071428571428573,0.3638888888888889,0.2046875,Yes,No,Yes,Yes
dell,625.0,other,other,4.4,2560.0,1600.0,windows,ssd,1000.0,1000.0,16.0,32.0,39.0625,0.390625,0.244140625,Yes,No,Yes,Yes
dell,315.0,silver,amd,2.3,1920.0,1080.0,windows,ssd,98.89,512.0,14.0,16.0,22.5,0.2916666666666667,0.1640625,No,No,No,No
