Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Type,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
dell,400.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.2,notebook/laptop,1920.0,1080.0,windows,ssd,2000.0,205.95,14.0,5.98
dell,175.0,black,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","well kept, fully functional, includes battery, ac adapter and power cord.",intel,intel core i5-6300u,2.4,notebook/laptop,1920.0,1080.0,windows,ssd,500.0,500.0,14.0,16.0
hp,85.0,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.",1-year allstate warranty. the original hp charger is included.,intel,intel celeron n,2.4,notebook/laptop,1366.0,768.0,chrome,emmc,16.0,205.95,11.6,4.0
dell,101.25,other,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.",laptops is tested & fully working with some sign of use (scratches and/or marks on case. may have scratches and spots on screen). please note our images are an example of the laptop you will receive. model numbers will vary.windows 10 installed. comes with charger and power lead.,other,intel core i5 6th generation,1.4,notebook/laptop,1366.0,768.0,windows,ssd,98.89,256.0,12.5,8.0
acer,50.0,black,"Touchscreen, Bluetooth",Undefined,Undefined,undefined,other,intel celeron,1.6,notebook/laptop,1366.0,768.0,chrome,ssd,98.89,16.0,11.6,4.0
hp,39.6,black,"Bluetooth, Built-in Webcam",Undefined,Undefined,undefined,other,intel celeron,1.6,notebook/laptop,779.2421706908917,447.94931867081044,chrome,ssd,16.0,16.0,11.6,4.0
acer,35.0,gray,No specifications,Undefined,Undefined,undefined,other,intel celeron dual-core,1.0,notebook/laptop,779.2421706908917,447.94931867081044,chrome,unknown,16.0,205.95,11.6,2.0
dell,280.0,black,Wi-Fi,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,other,i7 7th,2.8,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,500.0,14.0,16.0
hp,125.0,silver,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Undefined,Undefined,undefined,intel,intel core i3 10th generation,2.1,notebook/laptop,1920.0,1080.0,chrome,emmc,98.89,64.0,14.0,8.0
lenovo,138.0,black,"Built-in Microphone,  Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","very good condition. very good performance, the power adapter is included, and freshly installed windows 11 pro, 14"" fhd (1920x1080), anti-glare.",intel,"8350u,  core i5",1.7,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,128.0,14.0,16.0
samsung,430.5,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,intel core i5 12th generation,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,13.3,5.98
acer,70.0,silver,Bluetooth,Undefined,Undefined,undefined,intel,intel celeron n,1.1,notebook/laptop,1366.0,768.0,chrome,emmc,98.89,32.0,11.6,4.0
dell,170.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this dell computer was used before and will show normal signs of use and handling, everything is guaranteed to work as it should",other,intel core i5 7th generation,1.1861742242409754,notebook/laptop,1920.0,1080.0,windows,ssd,128.0,128.0,2.0,8.0
dell,218.0,black,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good working used condition - wear marks from use - if necessary we have installed a new palmrest skin. ac adapter (power cord) included.,intel,intel core i5 8th generation,1.6,notebook/laptop,1920.0,1080.0,unknown,ssd,98.89,512.0,15.6,16.0
dell,130.0,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","tested and guaranteed by certified dell laptop technicians. this laptop was used before and will show normal signs of use and handling with nothing major, the screen is not cracked and the computer is intact, the pc laptop is fully tested and working normally. a brand new copy of windows 10 pro is installed and active. ready for use out of the box with an authentic charger",intel,intel celeron,1.1,notebook/laptop,1366.0,768.0,windows,ssd,128.0,128.0,11.0,4.0
acer,40.0,gray,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","acer chromebook c731 in certified excellent, used condition.displays light to normal signs of wear; no cracks, deep scuffs, or dents.features 4gb ram, 16gb ssd, hdmi, wi-fi connectivity, and a built-in webcam.ideal for students, professionals, or casual browsing.",intel,intel celeron n,1.6,notebook/laptop,1366.0,768.0,chrome,ssd,16.0,16.0,11.6,4.0
dell,393.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.2,notebook/laptop,1920.0,1080.0,windows,ssd,2000.0,205.95,14.0,5.98
dell,625.0,other,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",undefined,other,intel core i7 13th generation,4.4,other,2560.0,1600.0,windows,ssd,1000.0,1000.0,16.0,32.0
dell,315.0,silver,No specifications,Undefined,Undefined,undefined,amd,amd ryzen 5,2.3,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,512.0,14.0,16.0
dell,200.0,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this dell computer was used before and will show normal signs of use and handling, everything is guaranteed to work as it should",intel,intel core i5 6th generation,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,12.5,8.0
